GlobalTemperature,BlackPopulation,WhitePopulation,GrayPopulation
0,15.57223856297384,169,169,169
1,21.418551275266893,267,191,361
2,23.305167348197973,267,197,377
3,23.950433451871785,266,190,384
4,24.429366833586172,262,183,395
5,24.7714255717411,256,180,404
6,24.905940961943468,257,179,404
7,24.993700733740866,251,174,414
8,25.04119155825402,249,172,418
9,25.07568622064071,243,167,430
10,25.15649908354468,238,163,439
11,25.221428323687128,234,163,442
12,25.15896853543155,232,157,449
13,25.237450082053392,231,154,453
14,25.312577261937026,227,153,461
15,25.293344984630163,226,146,469
16,25.446811837050205,219,141,478
17,25.51851845665829,212,138,489
18,25.522409575709048,206,135,498
19,25.513242692714435,200,125,514
20,25.705708576342946,195,124,522
21,25.7405968274765,193,117,528
22,25.917131232063877,187,117,536
23,25.863670954533173,183,115,540
24,25.828793090491075,174,108,559
25,25.873509405855987,169,106,564
26,25.84774005910122,78,91,656
27,24.849887232851174,62,89,690
28,24.058296631999657,61,82,698
29,23.888930835177078,59,84,697
30,23.740960765877237,58,84,699
31,23.639790716046097,58,90,665
32,23.60512053751895,56,87,695
33,23.480023106196807,54,84,702
34,23.476511290147492,53,82,706
35,23.504702653024715,52,81,706
36,23.56077763992323,49,80,710
37,23.599854889655003,46,78,717
38,23.624360437585015,46,73,722
39,23.786204187512773,40,69,728
40,23.876844204073553,40,66,735
41,24.001212757441543,39,65,736
42,24.078446014656095,39,63,739
43,24.169886268663312,38,61,741
44,24.264535739422023,37,58,744
45,24.38071766100201,34,58,749
46,24.39362437763836,34,58,748
47,24.404069049095447,33,59,749
48,24.371791376559283,33,53,754
49,24.544538483705164,32,48,760
50,24.73711078879347,31,49,761
51,24.781648121117797,29,46,764
52,24.869101383816194,21,27,792
53,25.32129494223092,20,24,797
54,25.6142961034395,17,25,799
55,25.6767511332013,15,24,798
56,25.724772614179336,15,24,801
57,25.73915015876214,13,18,803
58,25.919735871203905,10,17,813
59,25.963061667362183,10,17,813
60,25.980695456745565,9,16,815
61,25.987333675278535,8,14,818
62,25.985274233170944,8,16,796
63,26.04602165470258,6,16,816
64,25.93546162712858,5,16,820
65,25.854560915566886,5,15,821
66,25.846270306225946,4,16,820
67,25.798317740127633,2,14,824
68,25.810644472164668,2,14,825
69,25.81717953326314,2,14,824
70,25.823686384406624,2,14,822
71,25.831632169267802,2,15,823
72,25.82054720731936,2,14,824
73,25.846652108449597,2,13,826
74,25.88728901043312,2,12,827
75,25.935809767109962,2,12,825
76,25.964336783898585,2,11,828
77,26.00249356887256,1,11,828
78,26.019032536689046,1,11,829
79,26.025770896163518,1,11,829
80,26.02958270200634,1,10,829
81,26.06368414820618,1,9,831
82,26.10765313589292,1,8,831
83,26.1673852880885,1,6,833
84,26.251274599548868,1,6,834
85,26.28836697756183,1,7,833
86,26.276673470485868,0,7,831
87,26.274606527885886,0,8,832
88,26.2386429987118,0,8,825
89,26.26411627038217,0,7,833
90,26.267881419479664,0,8,833
91,26.233133571899142,0,8,832
92,26.220849379135693,0,7,834
93,26.24241277540059,0,8,812
94,26.356058138015182,0,8,831
95,26.281085457943192,0,8,833
96,26.241634377944866,0,8,833
97,26.223231807918058,0,7,833
98,26.2261330840481,0,7,833
99,26.22592370360699,0,7,834
100,26.223299563490915,0,7,833
