Tick,GlobalTemperature,BlackPopulation,WhitePopulation,GrayPopulation
0,29.18581681637275,127,127,127
1,39.70106482629076,133,232,142
2,41.972015069463055,133,349,155
3,39.00138500400097,133,448,155
4,34.12502802506328,132,496,152
5,29.94740671908794,129,541,146
6,26.23353743410075,125,563,144
7,23.555895570100635,123,575,142
8,21.774203682206767,120,581,140
9,20.674287800615254,117,583,139
10,19.982895902365687,112,590,137
11,19.356671715983136,108,597,135
12,18.78539926259912,103,607,131
13,18.14035183656887,100,616,125
14,17.48211234527365,96,621,123
15,16.91316352948209,90,636,115
16,16.180443123666983,88,638,114
17,15.734611724149907,84,644,112
18,15.246706854343563,77,649,110
19,14.740927989829466,69,666,105
20,13.920819753106553,65,671,105
21,13.301969342695047,59,676,105
22,12.788173123844361,56,680,103
23,12.371389321277896,49,694,97
24,11.640966006788405,44,696,97
25,11.13182821309672,43,699,94
26,10.765345493904872,31,695,78
27,10.762521476530317,26,657,82
28,12.029749401862912,25,689,82
29,11.810063701131178,23,694,87
30,11.754947384611013,21,703,97
31,11.506289961324102,18,707,106
32,11.250869670055973,18,708,108
33,11.065767274230069,18,709,111
34,10.94632113990583,18,706,114
35,10.956181941259718,18,708,111
36,10.887793723116433,17,706,111
37,10.927228714853426,17,707,111
38,10.901461857532153,17,709,113
39,10.808206174381185,17,699,113
40,11.161153415942202,17,706,112
41,11.082931974083518,16,706,112
42,11.026941093207698,15,706,111
43,11.023831419999269,15,710,111
44,10.892208129084883,14,704,116
45,11.010032457389652,14,696,119
46,11.26412011080238,15,695,118
47,11.399710470333487,15,703,119
48,11.237352549834158,16,701,118
49,11.337696406436116,14,705,121
50,11.215822036183466,14,702,123
51,11.27763556794031,14,698,125
52,11.443697278542441,13,670,124
53,12.42869619037414,10,619,138
54,14.339644934228131,9,630,148
55,14.791049778787189,9,638,168
56,14.914385867772152,8,651,165
57,14.588993215095932,9,660,164
58,14.141856165539814,9,661,168
59,13.961062833719058,9,663,167
60,13.813254884741937,9,664,165
61,13.714277016635162,9,659,170
62,13.8392902065865,9,655,172
63,13.981874511447964,9,655,173
64,14.086990374935578,8,659,174
65,14.024177113527225,8,651,177
66,14.258241790428727,7,653,178
67,14.259378524372604,6,646,185
68,14.466794872423641,6,640,190
69,14.763006706364266,6,639,192
70,14.931303564227706,6,639,193
71,15.008939435466043,6,638,193
72,15.059495152488427,5,641,191
73,14.995044909862907,5,639,190
74,15.038446792814169,4,643,192
75,14.960132833528764,4,640,196
76,15.038806200931987,4,642,193
77,15.024854027557542,4,643,193
78,15.004029838081953,3,626,198
79,15.48705763121224,3,600,196
80,16.521755475102086,2,592,204
81,16.874870660813798,2,609,209
82,16.579180534535706,2,607,219
83,16.69312883540579,1,609,225
84,16.616036545270834,1,612,226
85,16.50207199065241,1,611,228
86,16.469301980627595,1,609,230
87,16.490154492629806,1,610,228
88,16.48380969059468,1,611,226
89,16.40275697534627,1,612,224
90,16.33588437409483,1,613,224
91,16.23928129983711,1,612,224
92,16.275924542693243,1,615,223
93,16.214715918469846,1,619,219
94,15.994631755880512,1,617,220
95,15.975691406609583,1,617,221
96,15.932003017652747,1,617,222
97,15.908057538628762,1,614,223
98,15.975754674895324,1,610,227
99,16.12647056987104,1,603,233
100,16.366107985407126,1,601,234
