Tick,GlobalTemperature,BlackPopulation,WhitePopulation,GrayPopulation
0,17.07281629800896,127,127,127
1,23.32616453199496,226,166,318
2,24.916269273538884,245,190,388
3,24.545976008715485,248,193,397
4,24.241525032552634,249,186,404
5,24.29316328940735,247,186,405
6,24.25661834924495,248,180,411
7,24.402516690731048,249,175,414
8,24.64208354543581,245,175,418
9,24.66694302750019,244,172,424
10,24.756949667129298,241,169,429
11,24.818081268039464,238,169,430
12,24.807139231497516,234,163,442
13,24.868706506800628,230,163,448
14,24.818380496669672,230,156,450
15,24.996086057811908,226,148,464
16,25.252490599159188,226,142,470
17,25.470014501553685,225,143,472
18,25.53578014786793,223,137,479
19,25.720935003161653,220,136,484
20,25.747960149663296,217,134,490
21,25.77927965134769,215,131,494
22,25.860957608712,212,125,503
23,26.020670073442297,209,125,506
24,26.054168035898012,205,124,510
25,26.040280506022043,203,121,517
26,26.060512333938906,126,101,518
27,26.05644502122466,95,87,606
28,25.625925348658402,91,78,664
29,25.34876210980538,89,72,679
30,25.309762121719924,83,71,685
31,25.26324550637076,80,66,693
32,25.33649928113546,78,66,697
33,25.322741353793468,73,66,701
34,25.24875023194141,71,60,707
35,25.310013820784018,64,59,717
36,25.25311591738081,64,61,716
37,25.16852148861091,62,59,720
38,25.15327931451256,61,57,721
39,25.199881189122802,60,55,726
40,25.25292353230484,56,55,730
41,25.231939890816555,53,56,731
42,25.155182039629416,51,57,730
43,25.061280757620974,53,58,730
44,25.0191786829109,53,58,730
45,24.999621846078753,52,58,731
46,24.98585882623696,46,58,735
47,24.884457770508135,45,57,739
48,24.84411965193687,44,57,740
49,24.80980171753011,44,57,740
50,24.7937993190955,45,57,739
51,24.80361090383741,44,57,739
52,24.805718971501406,35,48,711
53,25.24004409418864,21,40,746
54,25.33544658045065,18,39,781
55,25.16084520298947,18,39,784
56,25.03367880180124,17,38,782
57,25.009501639964725,16,38,785
58,24.9807617297677,16,37,788
59,24.993424276341944,17,34,790
60,25.10721446190239,17,34,788
61,25.169266471827097,17,35,788
62,25.167611725734677,16,33,792
63,25.206569254186405,16,32,793
64,25.256093060523444,16,32,792
65,25.286825717027014,15,33,793
66,25.258107104065857,15,33,793
67,25.24455938559418,15,32,793
68,25.270107136217444,13,30,796
69,25.301213319787454,12,31,798
70,25.285469402360558,11,31,798
71,25.269879463685587,11,31,799
72,25.25413941403559,12,28,801
73,25.353073328953375,11,29,801
74,25.35073416485695,12,28,800
75,25.397239701554764,12,28,801
76,25.417058145204326,11,27,803
77,25.439294803047453,11,26,804
78,25.480026809608244,8,23,775
79,25.762176312267094,10,16,781
80,26.109077561774146,7,12,820
81,26.166002429115093,7,10,824
82,26.232795554506936,7,10,821
83,26.27926044321836,7,10,823
84,26.2915863933909,7,10,824
85,26.29579256437703,6,11,824
86,26.25127656491725,5,12,822
87,26.186958884377265,5,11,824
88,26.181390390115197,5,11,825
89,26.17637647305769,5,11,825
90,26.17424415331586,5,11,824
91,26.175704231294795,5,10,826
92,26.20336381072727,5,10,825
93,26.21991364565502,5,10,825
94,26.22790561459324,5,8,825
95,26.27567135307596,6,8,827
96,26.295700062600847,6,8,827
97,26.305574017031084,6,8,827
98,26.31043454855575,5,9,826
99,26.26824510239782,5,8,828
100,26.277064443515105,4,8,828
