Tick,GlobalTemperature,BlackPopulation,WhitePopulation,GrayPopulation
0,9.03964845069733,127,127,127
1,11.989763588904095,307,123,264
2,14.549636688761925,376,119,318
3,16.225037128892318,386,118,328
4,17.10849264660752,392,113,334
5,17.73816686929219,397,107,334
6,18.30277212425124,400,103,338
7,18.72134260287131,404,98,338
8,19.15460840831082,409,94,338
9,19.56823019058479,410,89,342
10,19.938164213308994,413,83,343
11,20.30861233604057,417,79,345
12,20.655764953040325,420,72,348
13,21.087523128622237,425,67,349
14,21.501638583324915,425,63,353
15,21.83668802757128,423,59,358
16,22.08181939683584,429,53,357
17,22.48699922636729,437,45,358
18,23.074355271200215,438,43,360
19,23.437725825443426,439,40,360
20,23.736459197058554,445,35,361
21,24.114151365143652,446,31,361
22,24.445195808921447,448,30,362
23,24.65111903482826,448,24,367
24,24.936166708121586,449,22,367
25,25.15875344155289,454,14,373
26,25.56824567341745,392,3,348
27,25.75372954855423,380,3,401
28,25.29337072651376,389,3,429
29,24.93295388103436,399,3,437
30,24.75691707821067,395,3,442
31,24.602081957971205,390,3,446
32,24.455524327731816,389,3,448
33,24.356073505732414,384,3,453
34,24.218774062274637,377,3,461
35,24.020585830968177,373,3,464
36,23.85973824428929,366,3,471
37,23.66437542567204,362,3,475
38,23.513962037296224,358,3,479
39,23.370260383702423,353,3,481
40,23.209564788674985,351,3,484
41,23.08696252008284,354,3,483
42,23.052591759838787,347,3,490
43,22.937941980083867,343,3,493
44,22.80853890106602,339,3,497
45,22.6752412460353,338,2,500
46,22.614663455163164,333,2,506
47,22.492851942279266,331,2,505
48,22.415774620667808,333,2,505
49,22.39390745497714,331,1,509
50,22.374327085033233,327,1,513
51,22.295064503056125,324,1,515
52,22.222944812329033,271,2,513
53,21.648428382119278,236,1,575
54,20.69654423480589,235,1,594
55,20.09540560379317,232,1,604
56,19.723615647793658,234,1,606
57,19.535552351821387,232,1,606
58,19.425829688102024,229,1,611
59,19.303620300666008,231,1,609
60,19.277275388387924,230,1,610
61,19.24675206959772,229,1,611
62,19.213249734022277,230,1,608
63,19.224048570012364,231,1,609
64,19.237336619396935,227,1,613
65,19.187180713075087,225,1,614
66,19.174892581439376,228,1,612
67,19.20249953504343,226,1,613
68,19.196294750359524,229,1,610
69,19.2273943895619,227,1,612
70,19.207966488836284,228,1,611
71,19.21016012524714,226,1,614
72,19.161218777865713,228,1,612
73,19.168484056349016,223,1,615
74,19.10221854061476,218,1,620
75,19.00752697700647,217,1,623
76,18.940845025081224,218,1,622
77,18.925870984333223,220,1,620
78,18.942622884365036,201,0,580
79,19.10751144993256,203,0,614
80,18.961898714284594,205,0,630
81,18.788521408425854,211,0,627
82,18.79031618540292,215,0,626
83,18.84390339360457,214,0,625
84,18.844053147644214,213,0,626
85,18.84187805119872,210,0,631
86,18.781334317620406,208,0,633
87,18.717263883877813,206,0,635
88,18.651700822053062,205,0,634
89,18.625250453570576,205,0,636
90,18.57846038243832,209,0,631
91,18.62643742036276,209,0,631
92,18.65365388301734,207,0,634
93,18.63649130551332,207,0,633
94,18.642671374606852,203,0,638
95,18.585169744093296,201,0,640
96,18.534492411417627,202,0,639
97,18.527638520934055,201,0,640
98,18.519150337731908,198,0,643
99,18.465973878006118,202,0,636
100,18.517185752897014,200,0,638
101,18.506079872798104,203,0,638
102,18.51177905898238,202,0,639
103,18.4975244164188,199,0,642
104,18.45035766073629,183,0,603
105,18.57563325586234,182,0,635
106,18.35726380245328,186,0,647
107,18.1776982221515,180,0,659
108,17.955252165351595,178,0,663
109,17.793510487274812,180,0,660
110,17.762706667928263,179,0,660
111,17.732457035385067,183,0,657
112,17.783180186773322,186,0,654
113,17.8605834785765,190,0,650
114,17.967643616701906,190,0,649
115,18.04028588905592,192,0,649
116,18.114848773518535,187,0,654
117,18.06736392947943,186,0,654
118,18.035279230793304,188,0,653
119,18.033913000320048,187,0,653
120,18.017233152054906,191,0,649
121,18.084068655220737,193,0,648
122,18.131653034005808,195,0,646
123,18.188870805806133,196,0,644
124,18.242227356498056,197,0,644
125,18.276561589486253,194,0,644
126,18.248716573932764,194,0,645
127,18.242779487376573,198,0,643
128,18.317598426569376,198,0,643
129,18.355532981094257,196,0,645
130,18.339830877776407,192,0,595
131,18.64340206885842,206,0,613
132,18.799732798076132,215,0,619
133,18.869500242549947,219,0,618
134,18.95236382817535,219,0,622
135,19.00848982045077,215,0,624
136,18.98785713664874,215,0,626
137,18.97595673479848,215,0,625
138,18.97529939896603,214,0,627
139,18.955776209299856,210,0,630
140,18.879777149134295,212,0,626
141,18.876188419989,212,0,629
142,18.846418854593338,212,0,629
143,18.829527893345354,214,0,626
144,18.840282470999682,209,0,632
145,18.760794609293796,208,0,633
146,18.695043215920577,203,0,637
147,18.578320584832202,201,0,640
148,18.494950005358792,198,0,643
149,18.40261195039661,199,0,641
150,18.377773159779867,202,0,639
151,18.416536231470154,202,0,636
152,18.444266597639118,204,0,633
153,18.4932481876024,206,0,635
154,18.49197618151144,206,0,635
155,18.489382654653316,208,0,633
156,18.522415291378643,206,0,581
157,18.914374752358796,204,0,610
158,18.914947027737238,202,0,632
159,18.755511644308577,200,0,637
160,18.64416775546882,198,0,643
161,18.550521241045576,202,0,638
162,18.567444372456013,204,0,637
163,18.594301539300258,200,0,641
164,18.52426431751801,200,0,641
165,18.487807872119696,203,0,638
166,18.52135853530535,199,0,641
167,18.46797296762988,199,0,642
168,18.453906599425554,201,0,639
169,18.48587370956006,198,0,641
170,18.47924485449507,202,0,639
171,18.535011480735875,203,0,637
172,18.595571312614517,204,0,635
173,18.634407597079413,204,0,636
174,18.650337752675455,202,0,639
175,18.62110871194419,202,0,638
176,18.609149108550614,199,0,642
177,18.547207068802038,201,0,638
178,18.56749956244682,199,0,640
179,18.557183509499573,196,0,645
180,18.508730018535253,198,0,643
181,18.521291575538942,199,0,642
182,18.545170013612413,164,0,622
183,18.350204337640935,181,0,635
184,18.279198246177618,195,0,639
185,18.306418175833244,197,0,640
186,18.32246753818297,200,0,639
187,18.348955331152858,196,0,644
188,18.28841507582287,196,0,645
189,18.244132528578774,199,0,642
190,18.28568831344386,199,0,642
191,18.307161261051892,197,0,644
192,18.2832092981321,196,0,642
193,18.279613925988254,195,0,646
194,18.2491392670518,195,0,645
195,18.2420016267386,196,0,642
196,18.253407402676213,194,0,647
197,18.20364475068797,191,0,649
198,18.14089206354871,194,0,646
199,18.16181992621085,195,0,646
200,18.188457925660263,199,0,642
201,18.260227639981526,199,0,641
202,18.507152493970207,198,0,642
203,18.80755824655784,197,0,642
204,19.152056599108562,197,0,641
205,19.49752292490624,197,0,644
206,19.831620710027256,194,0,647
207,20.138427001395808,193,0,648
208,20.453833985051304,174,0,623
209,20.827301385662107,162,0,658
210,20.888812893727167,158,0,677
211,20.931511273973733,154,0,684
212,21.058580517394788,150,0,690
213,21.26187904725724,150,0,688
214,21.585256820825865,149,0,692
215,21.90427070254536,145,0,696
216,22.17950469202467,143,0,698
217,22.46474896383723,143,0,698
218,22.78702508838175,145,0,694
219,23.154198260271258,146,0,695
220,23.51748153025154,143,0,698
221,23.824488452531302,141,0,700
222,24.1347214662384,139,0,702
223,24.432362613235753,138,0,702
224,24.74238577697695,133,0,707
225,24.989874145297108,131,0,710
226,25.244255702375277,128,0,713
227,25.503107964845043,125,0,716
228,25.752055297717494,126,0,715
229,26.06408102200057,120,0,719
230,26.30723333168797,119,0,720
231,26.57410162607884,115,0,725
232,26.83411015882448,115,0,726
233,27.12671481789762,112,0,728
234,27.40727043078579,76,0,707
235,27.519730464364255,52,0,758
