Tick,GlobalTemperature,BlackPopulation,WhitePopulation,GrayPopulation
0,8.858029516535574,169,169,0
1,12.03010898375115,485,161,0
2,17.050064208543077,641,157,0
3,20.993299745907898,677,153,0
4,23.29882227894298,688,147,0
5,24.69423468721284,695,139,0
6,25.727228884726777,702,135,0
7,26.44736577856779,710,126,0
8,27.194328301220576,714,122,0
9,27.739323452660475,718,115,0
10,28.21301737926629,726,110,0
11,28.66298392787519,730,105,0
12,29.07559856680094,726,106,0
13,29.196395445794096,736,99,0
14,29.602077054381727,744,91,0
15,30.145121753626427,746,88,0
16,30.539154648532143,750,87,0
17,30.798063521302485,756,81,0
18,31.167006082215906,758,76,0
19,31.56123812434801,763,72,0
20,31.88111506550478,767,65,0
21,32.27085601322489,775,56,0
22,32.77161792337258,782,49,0
23,33.32235871260186,789,42,0
24,33.917199130890076,789,37,0
25,34.39524360837278,794,32,0
26,34.86688073556139,588,34,0
27,33.10341958891265,500,61,0
28,30.427146584850323,564,86,0
29,28.769446659992262,675,100,0
30,28.42584689772843,717,101,0
31,28.5200511726658,726,100,0
32,28.6827437598385,730,99,0
33,28.79846369688505,731,99,0
34,28.86094524390457,731,99,0
35,28.891013014362713,726,97,0
36,28.940791007849313,729,96,0
37,29.018992172852144,734,95,0
38,29.141782507198467,738,93,0
39,29.31651577324721,731,91,0
40,29.411326577314373,734,91,0
41,29.487376437988527,736,89,0
42,29.619328608919822,735,89,0
43,29.649323349198976,734,89,0
44,29.662686477716917,733,89,0
45,29.6477957169157,733,89,0
46,29.64090294492915,735,88,0
47,29.702135090994922,738,85,0
48,29.8728144141531,735,86,0
49,29.884908940430623,736,87,0
50,29.86250624382035,730,88,0
51,29.775379757053223,734,88,0
52,29.75245388192987,713,67,0
53,30.347018472382143,703,36,0
54,31.764730836808674,684,24,0
55,32.7757733099683,710,22,0
56,33.599340711533884,726,23,0
57,34.06006937127992,757,26,0
58,34.436319203931,770,29,0
59,34.613953467851836,773,29,0
60,34.72818859139495,771,28,0
61,34.80233061405651,765,28,0
62,34.78158057157707,771,28,0
63,34.82115317040232,773,28,0
64,34.85222109582081,771,27,0
65,34.8857808717455,762,27,0
66,34.81643392284111,756,27,0
67,34.730289718867496,758,27,0
68,34.70110086785257,764,26,0
69,34.78018411737969,760,26,0
70,34.791187617504384,765,26,0
71,34.84426467233936,767,25,0
72,34.9211124910441,768,25,0
73,34.96229688594151,765,25,0
74,34.952892588219136,764,27,0
75,34.86393096201328,760,26,0
76,34.824707516153794,760,25,0
77,34.83653043605826,757,25,0
78,34.814168678343734,680,23,0
79,34.155807298782555,590,29,0
80,32.77770187697583,558,31,0
81,31.743000823750243,624,37,0
82,31.61199264942905,663,34,0
83,32.02476342085141,715,32,0
84,32.79243275874544,759,31,0
85,33.61567724750415,779,31,0
86,34.19344125145613,787,31,0
87,34.562518461473516,782,31,0
88,34.684051868398576,780,31,0
89,34.73180803047615,778,32,0
90,34.6983412592132,780,32,0
91,34.69443093628779,779,32,0
92,34.68975643062849,779,32,0
93,34.6872576313602,775,32,0
94,34.64891373696444,782,32,0
95,34.68926892068235,772,32,0
96,34.612579932223724,768,32,0
97,34.542715246570225,770,32,0
98,34.52829577628389,773,32,0
99,34.54279947434371,767,31,0
100,34.54946246808591,769,29,0
101,34.63482258158254,768,31,0
102,34.59173328230609,769,31,0
103,34.57904061013734,772,31,0
104,34.59512927912459,757,28,0
105,34.57849464566606,717,23,0
106,34.39670480354455,671,11,0
107,34.33614390394271,661,11,0
108,34.22778958977903,619,10,0
109,33.81010583956501,608,14,0
110,33.32389475980541,651,17,0
111,33.37670679114063,703,21,0
112,33.73457779337123,762,27,0
113,34.24421215712413,773,29,0
114,34.52719233917971,780,29,0
115,34.72116614667181,777,28,0
116,34.8250547317297,786,28,0
117,34.96947570750947,786,27,0
118,35.07969877000613,784,27,0
119,35.11565121637198,771,27,0
120,35.00873259299981,774,27,0
121,34.97768021330718,772,28,0
122,34.904780308008476,768,28,0
123,34.82976125015152,760,28,0
124,34.728802686636804,761,28,0
125,34.68266521808468,758,29,0
126,34.59355706397397,759,27,0
127,34.63294070466631,756,27,0
128,34.61719948697482,760,27,0
129,34.653697347140785,761,27,0
130,34.68305663896826,757,27,0
131,34.673081135031154,733,25,0
132,34.52069254012504,679,25,0
133,33.965162938807026,657,23,0
134,33.52329851297934,646,21,0
135,33.290763203123184,620,18,0
136,33.01977803086287,616,13,0
137,33.03876661535262,632,11,0
138,33.256046016115555,669,8,0
139,33.82715446994266,703,7,0
140,34.47597545571046,762,7,0
141,35.34793620690342,782,7,0
142,35.979900039574616,796,7,0
143,36.42341826807186,802,7,0
144,36.702099349959255,810,7,0
145,36.91831512659091,809,7,0
146,37.016138964327915,807,7,0
147,37.05212440508651,808,6,0
148,37.11022801576099,801,6,0
149,37.078359671928546,797,6,0
150,37.03783427056903,802,6,0
151,37.047660146086365,800,5,0
152,37.06901515550501,799,5,0
153,37.07617901210205,795,5,0
154,37.0358214059985,787,5,0
155,36.94514028656872,785,5,0
156,36.87492517898905,774,5,0
157,36.7483165444436,760,5,0
158,36.578553107206965,741,4,0
159,36.36539705448357,729,4,0
160,36.136723838461776,721,4,0
161,35.97246163929987,692,3,0
162,35.630452106373596,656,3,0
163,35.10028967550579,622,2,0
164,34.54065131514906,613,2,0
165,34.16078838643785,594,2,0
166,33.79569450016791,606,2,0
167,33.713013182234675,643,2,0
168,34.02364934913412,696,2,0
169,34.67805060090962,738,2,0
170,35.40519693039288,770,2,0
171,36.07454275819882,787,2,0
172,36.57091700116331,803,2,0
173,36.98460713857597,806,2,0
174,37.214131741631256,810,2,0
175,37.366668807196795,806,2,0
176,37.4049247439345,809,2,0
177,37.44578240852159,804,2,0
178,37.43894015936455,804,2,0
179,37.422248324610024,804,2,0
180,37.40666406411784,803,2,0
181,37.395354337952924,800,2,0
182,37.35493670277414,799,2,0
183,37.32542471910788,784,2,0
184,37.20098028150228,768,2,0
185,37.009236237587736,756,2,0
186,36.78096670931424,738,2,0
187,36.53407492930445,722,2,0
188,36.235972255575334,704,1,0
189,35.94349491579309,692,0,0
190,35.714111112159856,681,0,0
191,35.47228847041155,659,0,0
192,35.132768513510726,649,0,0
193,34.88635241330215,640,0,0
194,34.65073539760592,619,0,0
195,34.33728486274275,614,0,0
196,34.12677449371023,617,0,0
197,34.062477505789225,638,0,0
198,34.217778821592084,683,0,0
199,34.7254951171314,740,0,0
200,35.52272555891839,776,0,0
201,36.271385385537364,796,0,0
202,37.042015160116875,810,0,0
203,37.753193584470395,811,0,0
204,38.313988483863334,812,0,0
205,38.799244868997796,805,0,0
206,39.17474726651561,807,0,0
207,39.5748883723026,807,0,0
208,39.972737889628796,804,0,0
209,40.33528878515425,798,0,0
210,40.65561442537151,785,0,0
211,40.901704703289525,776,0,0
212,41.147471547146,766,0,0
213,41.34269924840298,755,0,0
214,41.51897889469583,723,0,0
215,41.48559504191025,697,0,0
216,41.41832144808054,671,0,0
217,41.31210450735047,635,0,0
218,41.065039168346125,583,0,0
219,40.62989503752093,546,0,0
220,40.2219249937748,508,0,0
221,39.83144568450347,485,0,0
222,39.58663934672124,442,0,0
223,39.24158821679659,388,0,0
224,38.72338228541678,328,0,0
225,38.05817094999538,284,0,0
226,37.47711485727368,248,0,0
227,37.01445234838834,227,0,0
228,36.7606717601458,219,0,0
229,36.74788293614722,219,0,0
230,36.91248643802976,222,0,0
231,37.17249234462708,222,0,0
232,37.46195564870274,219,0,0
233,37.750367329317186,218,0,0
234,38.05022612561743,217,0,0
235,38.355911050805396,213,0,0
236,38.64120638611702,209,0,0
237,38.9104153421758,207,0,0
238,39.21190123321299,204,0,0
239,39.51520198912352,210,0,0
240,39.860112716789864,211,0,0
241,40.185924353808105,213,0,0
242,40.53182131580212,210,0,0
243,40.83898714282691,211,0,0
244,41.154015885587604,213,0,0
245,41.474828594417275,216,0,0
246,41.811047906480866,214,0,0
247,42.11323066073548,216,0,0
248,42.43829759195445,215,0,0
249,42.743790623708186,214,0,0
250,43.04655265302367,216,0,0
251,43.36304338390335,215,0,0
252,43.66868313354909,215,0,0
253,43.965648543054655,215,0,0
254,44.264197693435534,215,0,0
255,44.56278688205532,213,0,0
256,44.86125640318482,216,0,0
257,45.168104254741145,216,0,0
258,45.46721891668454,216,0,0
259,45.762927480558936,215,0,0
260,46.04690510706006,214,0,0
261,46.32502725336061,214,0,0
262,46.60936716646305,208,0,0
263,46.86460131207523,211,0,0
264,47.16044314033036,207,0,0
265,47.418511846089324,213,0,0
266,47.728990358584504,212,0,0
267,48.01353506039056,216,0,0
268,48.32796895746167,212,0,0
269,48.59784317335703,215,0,0
270,48.889200418193944,210,0,0
271,49.14666610251973,215,0,0
272,49.447981700660286,215,0,0
273,49.7276213438186,216,0,0
274,50.01352923556927,215,0,0
275,50.28263531540942,215,0,0
276,50.55336609223452,216,0,0
277,50.833704455369144,216,0,0
278,51.1079641537339,215,0,0
279,51.3694239027591,216,0,0
280,51.64378245266151,216,0,0
281,51.913532239853765,215,0,0
